date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:49:05	516/516	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22f21390f923290cf9f1a84c571de8a6a2%22	https://banhmivietnam.xyz/robots.txt		(from )
09:49:06	19983/19983	---MCZ	200	added ('OK')	text/html	etag:W/%222a27a5ac04810cbbb723ebc832d702e1%22	https://banhmivietnam.xyz/	D:/Banh/banhmivietnam.xyz/index.html	(from )
09:49:06	2591/2591	---M--	200	added ('OK')	image/png	etag:%22cf32c764ff488213c78a6fc72b23c2d5%22	https://banhmivietnam.xyz/img/Favicon.png	D:/Banh/banhmivietnam.xyz/img/Favicon.png	(from https://banhmivietnam.xyz/)
09:49:07	91290/91290	---M--	200	added ('OK')	image/png	etag:%22a5e0f278976834863fc5753c1adb9226%22	https://banhmivietnam.xyz/img/Webclip.png	D:/Banh/banhmivietnam.xyz/img/Webclip.png	(from https://banhmivietnam.xyz/)
09:49:08	232544/232544	---M--	200	added ('OK')	image/png	etag:%2281bdab459acaef9f154e9cd8448e7f4d%22	https://banhmivietnam.xyz/img/Hero%20banh%20mi.png	D:/Banh/banhmivietnam.xyz/img/Hero%20banh%20mi.png	(from https://banhmivietnam.xyz/)
09:49:09	225327/225327	---M--	200	added ('OK')	image/png	etag:%22743d44a09a30719b94687258051ba1d5%22	https://banhmivietnam.xyz/img/Hero%20banh%20mi%20circle%20bg.png	D:/Banh/banhmivietnam.xyz/img/Hero%20banh%20mi%20circle%20bg.png	(from https://banhmivietnam.xyz/)
09:49:09	21255/21255	---MCZ	200	added ('OK')	text/css	etag:W/%22428233e105927edb26f02337cc24e2ed%22	https://banhmivietnam.xyz/style.css	D:/Banh/banhmivietnam.xyz/style.css	(from https://banhmivietnam.xyz/)
09:49:09	72927/72927	---MCZ	200	added ('OK')	application/javascript	etag:W/%2211cdf-k5byVjKc9VT++IgpMGlwWVfxs+I%22	https://cdn.jsdelivr.net/npm/gsap@3.15/dist/gsap.min.js	D:/Banh/cdn.jsdelivr.net/npm/gsap@3.15/dist/gsap.min.js	(from https://banhmivietnam.xyz/)
09:49:10	44575/44575	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ae1f-Bcpa2IzvKnKdtRX6INvjq5OVUd4%22	https://cdn.jsdelivr.net/npm/gsap@3.15/dist/ScrollTrigger.min.js	D:/Banh/cdn.jsdelivr.net/npm/gsap@3.15/dist/ScrollTrigger.min.js	(from https://banhmivietnam.xyz/)
09:49:10	7732/7732	---MCZ	200	added ('OK')	application/javascript	etag:W/%221e34-bEx3FhEJO/YIOcjIHGi3Psv52ac%22	https://cdn.jsdelivr.net/npm/gsap@3.15/dist/SplitText.min.js	D:/Banh/cdn.jsdelivr.net/npm/gsap@3.15/dist/SplitText.min.js	(from https://banhmivietnam.xyz/)
